Report,Critical,High,Medium,Low,CPEs,Test
PSY408-02_2025-06-07_14-17-54,24,229,101,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
LAW219-001-0423_2025-06-02_14-16-04,13,200,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:word:2010, microsoft:word:2010:sp1, , ",
law120-010,12,195,54,2,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010, , ",
LAW006-004_2025-06-14_11-55-13,91,308,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
LAW616-001_2025-06-14_11-47-29,88,296,97,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
PSY411-0004_2025-06-07_13-48-47,17,225,71,7,"7-zip, git, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2005, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, r:r_for_windows, , ",
FSF307-000004_2025-05-28_14-02-35,27,239,122,3,"microsoft:edge, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
LAW119-0001_2025-06-07_11-18-58,0,3,1,0,"microsoft:webp_image, , ",
LAW004-005_2025-06-14_11-44-47,95,310,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , ",
PSY417-002-0423_2025-06-07_14-37-00,113,351,169,15,"7-zip, git, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, r:r_for_windows, tortoisegit:tortoisegit, , ",
PSY426-016_2025-06-07_15-31-40,157,240,185,9,"7-zip, microsoft:webp_image, mozilla:firefox, r:r_for_windows, videolan:vlc_media_player, , ",
LAW107-001_2025-05-31_16-28-16,14,206,58,2,"7-zip, adobe:acrobat_dc:::continuous, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY417-003_2025-06-07_15-17-50,161,574,689,16,"7-zip, google:pepper_flash, microsoft:.net_framework:4.8, microsoft:3d_builder, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2005, windows_defender, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
PSY426-001_2025-06-07_15-38-35,31,220,87,5,"microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
FSF300-004_2025-06-07_12-28-29,88,296,97,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
PSY426-008_2025-06-07_15-35-24,43,269,127,10,"7-zip, gimp, git, libreoffice, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:visual_studio_code:system_installer, microsoft:webp_image, microsoft:word:2013, pypi:pip, r:r_for_windows, winrar, , ",
PSY408-06_2025-06-07_14-15-20,24,229,99,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
LAW204-0001_2025-06-02_12-53-26,13,200,55,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2005, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY410-0002-092_2025-06-07_14-27-49,22,232,77,8,"7-zip, git, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:visual_c++:2005, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, r:r_for_windows, tortoisegit:tortoisegit, , ",
PSY426-012_2025-06-07_15-54-02,43,269,130,10,"7-zip, gimp, git, libreoffice, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:visual_studio_code:system_installer, microsoft:webp_image, microsoft:word:2013, pypi:pip, r:r_for_windows, winrar, , ",
